"sample_id","land_use","volcanic","solar"
"mem100492",1.031375144,0.647131455,1.994951317
"mem101042",0.87432231,1.535079502,0.403510125
"mem101270",0.826238988,0.521692277,0.714454321
"mem101704",1.597365397,1.018826362,1.158209353
"mem10174",1.426014556,1.189251905,1.445100454
"mem101832",0.716979408,1.106912185,0.839781062
"mem103022",0.708340249,0.828417188,1.823908609
"mem104057",0.699703033,1.100494727,1.743954447
"mem104452",1.734373818,1.15529574,1.019835403
"mem104778",1.077867095,1.132824503,2.19715711
"mem105062",0.749182657,1.481172424,0.352667031
"mem105601",0.823426174,1.054774345,0.640605525
"mem10656",1.490246727,0.90715989,1.935573243
"mem106832",1.407219691,1.254197594,0.608784317
"mem107328",-0.098221252,0.907016342,0.992727803
"mem108501",0.215283758,1.790531042,0.645426544
"mem110492",1.11476306,1.398318165,1.219216659
"mem11075",0.86345082,1.122015755,1.067335649
"mem110769",0.417031759,0.95383785,1.94695048
"mem111824",1.11513355,1.280750865,1.695087374
"mem112069",0.712553419,0.856337602,1.324196286
"mem112394",0.273220721,0.831382676,0.597977764
"mem113502",0.989188204,1.149150377,2.484729247
"mem113905",1.418084048,1.153490911,-0.012046587
"mem115101",0.968859151,0.487146079,0.741546396
"mem116904",0.936961799,1.316764009,0.274036318
"mem117167",0.091961084,1.405296561,0.596916283
"mem118391",1.077732383,0.663931341,-0.826751813
"mem119174",1.074886535,1.17486489,0.308822305
"mem119804",1.135904749,1.159938808,0.806179214
"mem120266",1.046686629,0.816997974,0.311494575
"mem120656",1.24872242,0.829722368,0.217637496
"mem12156",0.597406736,1.348158102,1.22216579
"mem124014",0.362472501,0.7918578,0.841780296
"mem127172",0.358171083,1.103081279,0.236718385
"mem127544",0.412216839,0.777131783,0.36567313
"mem128485",0.951603295,0.911261002,1.487669192
"mem12971",0.742950052,0.896250843,1.220873963
"mem130774",1.209663766,0.920829851,1.085351975
"mem130862",0.81434211,1.373645539,1.745437934
"mem131124",1.674253316,0.868481067,0.044689034
"mem132459",1.404167807,0.644765349,0.861861912
"mem133311",1.615131211,0.951494408,1.398648978
"mem13600",0.745781679,0.986944143,0.589646347
"mem136303",1.184463995,1.467336353,1.289660519
"mem137161",0.445506485,0.717548191,2.506071619
"mem138860",0.967225746,1.563238915,0.813560647
"mem139102",0.323709529,0.945854204,1.772460953
"mem140394",1.206733807,0.707827085,0.470386857
"mem14089",0.556105121,1.499193399,1.255349267
"mem141239",0.429333881,1.24592496,1.336465963
"mem143057",0.411096083,0.527715759,1.581292637
"mem143402",0.779668656,0.960691942,0.855917893
"mem144396",0.796120671,1.410690564,1.069625388
"mem144780",0.238931483,0.444689617,0.617838629
"mem145222",0.784835758,0.327518268,1.247678355
"mem145952",0.301459,0.934811913,1.027684221
"mem146471",1.27368268,1.305373525,1.458452011
"mem146788",1.204628606,0.967746876,1.526590605
"mem147048",1.460557652,0.711692109,0.63987697
"mem147505",0.684702828,0.781405303,2.029370233
"mem148528",0.905874875,0.846844933,1.140519112
"mem152744",0.535306466,1.320592512,1.591809309
"mem154207",1.057320205,1.202721871,1.422691458
"mem154215",1.215855708,0.811430708,1.150211405
"mem155937",0.653319036,0.800631916,1.887256998
"mem156343",0.631549497,0.782570299,0.964227007
"mem157335",1.950920167,0.410783661,0.668611264
"mem157841",1.828685972,0.723896509,1.592133624
"mem157849",1.291257605,1.178314698,1.132934524
"mem158160",0.33679798,1.163349205,0.225048802
"mem158516",0.568194495,0.814226047,1.524657945
"mem159264",1.430488649,1.188368424,1.79011982
"mem160729",1.115986312,1.309174362,1.582818407
"mem162893",1.598627372,1.100394859,1.431085311
"mem163301",2.003315775,0.831638546,0.580353927
"mem164144",0.616635638,0.870514384,0.632473326
"mem166285",1.021936364,0.731380955,0.407223093
"mem167102",0.653590727,1.318071325,1.128999762
"mem167104",0.154416944,0.338788448,0.018159683
"mem169291",0.703580637,1.281833246,0.701879902
"mem17049",1.355352199,0.971610604,1.910911652
"mem17087",1.380407361,1.405133622,1.198839439
"mem172049",1.388354486,0.490592026,0.69499098
"mem174671",1.257617143,1.150605469,1.725602831
"mem175561",0.408346951,0.999350829,1.908167539
"mem176360",0.441476384,1.247023226,1.371645115
"mem176566",0.666162315,0.594685643,0.710092624
"mem176684",0.72583605,1.099561825,0.763315603
"mem177665",2.052028039,1.015792152,-0.071737227
"mem178024",1.560679133,0.915492552,0.872687392
"mem178256",0.762761304,1.140772938,1.311509073
"mem179678",0.737197376,0.079539788,0.96358841
"mem179704",1.305071468,0.825486047,1.285528462
"mem179770",0.481467243,0.756319791,1.454319594
"mem180025",0.120636514,0.919954323,0.678200782
"mem182041",1.045219363,0.50348318,1.329091945
"mem182250",1.157767027,1.240322541,0.886844633
"mem182489",1.393334361,1.192399203,1.084096039
"mem182717",1.436333897,0.803664285,1.500888323
"mem184027",0.905334303,0.946631312,0.735064342
"mem186361",0.86113367,1.428247054,-0.058502481
"mem187079",0.854783178,0.958762304,1.480709851
"mem187772",0.758845092,1.138061248,1.163721546
"mem187980",1.630472486,0.597403312,0.458229624
"mem192171",0.745728344,1.165555347,0.785152043
"mem192310",2.056793603,0.848365521,0.837294527
"mem192910",0.897945038,1.170943255,0.645306327
"mem192912",1.475615875,0.912776991,0.52373556
"mem195517",1.101290121,0.745662458,1.026037912
"mem1956",1.165668896,0.426054609,0.79466424
"mem195686",0.722464952,1.37462425,1.476637323
"mem195812",0.782124078,1.049183679,0.37690839
"mem196024",1.391179062,1.485409656,0.882318968
"mem197009",-0.010485604,1.332829382,0.542254692
"mem197314",0.892204138,0.918373067,0.55560508
"mem198487",1.522524197,0.686936994,0.618733597
"mem199078",1.578312539,1.618751804,0.190591991
"mem200763",0.591064293,0.785902187,0.342306243
"mem201354",0.915461585,0.525987819,2.196028797
"mem204820",0.355617037,1.4863335,1.940031459
"mem204993",0.529022978,1.054841663,1.012054608
"mem205929",0.639865509,0.707417496,1.889773649
"mem206557",0.923556355,1.25309346,1.914250595
"mem208099",0.703499166,1.133678598,1.044775359
"mem208654",0.503813106,0.792815841,0.921003176
"mem210211",0.308156061,0.68588498,1.198468039
"mem211307",1.062836882,0.698460758,0.495099487
"mem211319",0.894132945,0.932107329,1.733557961
"mem212443",0.791440629,0.86030708,1.813215262
"mem212778",0.148078647,1.042051162,1.654206957
"mem215224",0.945678259,0.567713956,1.131091836
"mem216296",1.571259364,0.446024519,0.531442958
"mem218634",0.767512319,1.344092086,-0.510679036
