"sample_id","land_use","volcanic","solar"
"mem100057",1.696729955,1.341376581,0.631871861
"mem10010",0.496441415,1.197980852,0.870601429
"mem100210",1.589690789,1.151486394,0.563292764
"mem100229",0.399765967,0.743589015,0.955828338
"mem100232",0.975972581,0.99072258,2.079059961
"mem100246",1.172584257,0.70563438,0.835487347
"mem100359",1.56675145,1.27424717,1.014715539
"mem100669",0.449959492,1.411877669,0.884744121
"mem100693",0.948323052,1.072342297,1.232414253
"mem10070",1.369773047,0.92898596,0.315123228
"mem100774",0.162346052,1.529389523,0.439516916
"mem100821",0.839765447,1.051183721,1.878189989
"mem100892",1.202154026,1.009734144,0.725288134
"mem10091",0.717140805,1.336595315,-0.581324279
"mem101033",1.334270621,0.969622699,2.071408839
"mem101143",1.32749559,0.746247861,1.229373389
"mem101191",1.465236984,1.111453043,2.025456888
"mem101195",1.597484774,0.72463946,0.72360473
"mem10123",1.188386294,1.040037074,0.59351497
"mem101629",1.799123634,0.97001442,1.442560982
"mem101697",0.667974514,1.523892807,0.764767692
"mem101832",0.716979408,1.106912185,0.839781062
"mem102041",0.960276463,1.096589481,1.441557982
"mem102257",0.54264092,0.801211417,-0.472501523
"mem10232",0.863792112,1.015807654,1.204229588
"mem102365",1.19664463,1.171246486,0.400967052
"mem102524",0.629553014,1.157650352,1.941085206
"mem102725",0.58481117,0.419803104,0.783749808
"mem10275",0.84140103,1.459839962,0.942926973
"mem102766",0.932778747,1.327966915,1.517325724
"mem102868",-0.711370942,0.836905254,2.111271855
"mem102906",2.061526984,0.789388643,1.510019571
"mem102975",1.196213057,1.123338438,2.504751969
"mem103037",0.922520229,1.083954092,0.831575683
"mem103172",0.81250753,0.829736797,1.08053757
"mem1033",1.751002207,1.240117615,2.088891007
"mem103412",1.459069285,0.316991486,1.527940898
"mem103456",0.696704254,1.376823485,0.317047916
"mem103526",0.542599226,1.15556917,1.221602847
"mem103715",1.699897955,0.845544172,0.580866776
"mem103720",0.206321132,1.161122674,1.12732068
"mem103725",1.215682444,0.871368877,0.841032929
"mem103816",1.590239472,1.315798932,1.28402691
"mem10383",0.234504822,1.334292446,1.333806584
"mem103937",0.262636924,0.954859006,1.582732226
"mem104025",1.079357491,0.630754658,0.338122888
"mem104065",1.622785254,0.945212231,1.508987527
"mem104112",0.49501537,1.236033219,1.466814405
"mem104147",0.550846985,1.394013333,0.654356767
"mem104258",0.032937538,0.771788192,1.742482952
"mem104285",0.35572448,0.126088013,1.505773127
"mem104387",0.977278344,1.134158622,0.556819148
"mem104445",1.128247779,0.868413376,1.057056716
"mem104477",0.701415211,0.744542463,1.014912886
"mem10449",2.149609269,1.057503854,0.167918999
"mem104610",1.048361061,0.265672558,1.527957538
"mem104639",1.010713694,1.053696841,1.248918498
"mem104685",0.869136632,0.890982053,1.452146403
"mem104689",1.66077586,1.138789859,0.971746573
"mem104773",0.459808743,0.716345038,0.841190351
"mem104952",1.469544799,1.008478317,0.722946664
"mem105034",0.373320065,0.762481938,0.062541158
"mem10526",1.299275046,1.172366461,0.048471248
"mem105281",1.248453398,1.031580699,0.927484888
"mem105296",0.830356075,0.864708082,1.398855747
"mem105363",0.749916728,0.816156513,0.961135013
"mem105422",0.415112715,1.287484987,1.240217663
"mem105580",1.452863504,1.104347071,1.117387627
"mem105624",0.42145605,1.59457705,0.210529566
"mem105927",0.964533055,1.207889632,0.340503088
"mem105932",1.139543902,1.095436474,1.901261332
"mem105962",0.06501702,1.237490836,1.43054595
"mem105966",1.469833952,1.476382971,0.958570593
"mem106134",1.010896333,1.064391076,1.231081935
"mem106192",0.737861549,1.319846154,1.418234433
"mem106217",0.933142961,1.435579026,1.409900157
"mem106420",1.247052382,0.620555046,1.079257752
"mem106583",0.762685837,0.968790054,1.442182007
"mem106806",0.451368379,1.613329623,1.165155806
"mem106855",0.637910913,1.182181759,1.559547041
"mem106990",1.128466624,0.982314514,0.845235949
"mem106995",0.418744307,0.735940261,1.2870792
"mem107164",1.204631866,0.557711068,1.679012883
"mem107185",0.719551216,0.529834137,0.967399416
"mem107194",0.95880434,0.968138348,0.347966095
"mem107205",1.185877868,1.02962694,0.748397315
"mem107217",1.38732099,0.820465984,0.578120102
"mem107260",1.220687133,0.963138518,0.931585081
"mem107382",0.829517346,1.296910686,0.79343841
"mem107398",0.748319551,1.046830735,0.957227405
"mem107496",0.901762775,1.079423879,0.266666094
"mem107598",0.766500495,0.800225193,1.031463106
"mem107785",1.445903379,1.146404322,1.229069042
"mem107794",0.879437736,0.838186611,2.04316119
"mem108055",1.202098251,1.585887973,0.896938356
"mem108099",1.078458073,1.225066137,0.847068798
"mem108239",0.882347291,0.706717173,1.124890954
"mem108429",0.593042918,0.930657325,1.379886857
"mem108542",0.553571852,1.546445632,-0.760807374
"mem108604",1.770669867,0.906284841,0.275060261
"mem108689",0.455791414,1.086305992,1.291686432
"mem108699",0.284664898,0.815754683,0.667627575
"mem10879",0.646285203,1.015722811,0.505452484
"mem108889",0.220465741,0.831322973,0.536883211
"mem108954",1.097691066,0.664097427,1.340582328
"mem108986",-0.008891746,0.656548563,2.245910616
"mem109047",-0.283795155,0.975370002,-0.181558702
"mem109058",0.805295898,1.073557708,1.68072571
"mem109163",1.133251842,0.953411193,0.417881092
"mem109487",1.223829742,0.779207389,1.295208418
"mem109516",1.158058751,0.843488653,0.949417837
"mem109543",1.339297771,1.098568339,0.910911031
"mem109594",1.065023873,0.869336891,1.913415355
"mem109780",1.272475631,1.038006537,0.238731257
"mem109895",0.561591668,0.93193663,0.388458917
"mem109998",1.32104065,1.076630194,1.855521601
"mem110310",1.341027104,0.997039402,0.69737742
"mem110313",1.373424788,0.782016022,0.377288529
"mem11045",1.159613366,0.682474795,0.777100422
"mem110615",0.276409168,0.83435211,2.253285798
"mem110635",0.461577388,0.897774998,2.47779797
