"gas_name","indirect_forcing_effect","gas_group","sample_id","f1","f2","f3"
"bc","bc|aci","aerosol_plus","mem100492",0.0,-0.0040673789605590914,0.0
"bc","bc|bc_on_snow","aerosol_plus","mem100492",0.0,0.018650192849697256,0.0
"carbon_tetrachloride","carbon_tetrachloride|o3","montreal","mem100492",0.0,-0.29296908777825137,0.0
"cfc113","cfc113|o3","montreal","mem100492",0.0,-0.11771079419661885,0.0
"cfc114","cfc114|o3","montreal","mem100492",0.0,-0.0340053405456899,0.0
"cfc115","cfc115|o3","montreal","mem100492",0.0,-0.009155283993070354,0.0
"cfc11","cfc11|o3","montreal","mem100492",0.0,-0.18441357757470286,0.0
"cfc12","cfc12|o3","montreal","mem100492",0.0,-0.06277909023819671,0.0
"ch2cl2","ch2cl2|o3","montreal","mem100492",0.0,-0.0,0.0
"ch3ccl3","ch3ccl3|o3","montreal","mem100492",0.0,-0.239345281533125,0.0
"chcl3","chcl3|o3","montreal","mem100492",0.0,-0.0,0.0
"co","co|o3","aerosol_plus","mem100492",0.0,0.00016661829155262384,0.0
"halon1202","halon1202|o3","montreal","mem100492",0.0,-7.886623211173464,0.0
"halon1211","halon1211|o3","montreal","mem100492",0.0,-3.8256008113901134,0.0
"halon1301","halon1301|o3","montreal","mem100492",0.0,-1.8833727071459017,0.0
"halon2402","halon2402|o3","montreal","mem100492",0.0,-7.768912416976846,0.0
"hcfc141b","hcfc141b|o3","montreal","mem100492",0.0,-0.08893704450411202,0.0
"hcfc142b","hcfc142b|o3","montreal","mem100492",0.0,-0.022234261126028013,0.0
"hcfc22","hcfc22|o3","montreal","mem100492",0.0,-0.019618465699436476,0.0
"methane","methane|o3","primary","mem100492",0.0,0.00018730194153846678,0.0
"methane","methane|strat_h2o","primary","mem100492",0.0,5.071105307909861e-5,0.0
"methyl_bromide","methyl_bromide|o3","montreal","mem100492",0.0,-3.5313238258985655,0.0
"methyl_chloride","methyl_chloride|o3","montreal","mem100492",0.0,-0.05754749938501367,0.0
"nitrous_oxide","nitrous_oxide|o3","primary","mem100492",0.0,0.000761847774478549,0.0
"nmvoc","nmvoc|o3","aerosol_plus","mem100492",0.0,0.00035392023309109067,0.0
"nox_avi","nox_avi|contrails","aerosol_plus","mem100492",0.0,0.01737993885031357,0.0
"nox","nox|o3","aerosol_plus","mem100492",0.0,0.0019304739986786763,0.0
"oc","oc|aci","aerosol_plus","mem100492",0.0,-0.0040673789605590914,0.0
"so2","so2|aci","aerosol_plus","mem100492",-0.37132695897825246,0.0,0.0
"bc","bc|aci","aerosol_plus","mem101042",0.0,-0.011354539972946555,0.0
"bc","bc|bc_on_snow","aerosol_plus","mem101042",0.0,0.007856661928902081,0.0
"carbon_tetrachloride","carbon_tetrachloride|o3","montreal","mem101042",0.0,-0.2223092383929433,0.0
"cfc113","cfc113|o3","montreal","mem101042",0.0,-0.08932067614002187,0.0
"cfc114","cfc114|o3","montreal","mem101042",0.0,-0.025803750884895213,0.0
"cfc115","cfc115|o3","montreal","mem101042",0.0,-0.006947163699779477,0.0
"cfc11","cfc11|o3","montreal","mem101042",0.0,-0.13993572595270093,0.0
"cfc12","cfc12|o3","montreal","mem101042",0.0,-0.04763769394134499,0.0
"ch2cl2","ch2cl2|o3","montreal","mem101042",0.0,-0.0,0.0
"ch3ccl3","ch3ccl3|o3","montreal","mem101042",0.0,-0.18161870815137782,0.0
"chcl3","chcl3|o3","montreal","mem101042",0.0,-0.0,0.0
"co","co|o3","aerosol_plus","mem101042",0.0,0.00012643240206090754,0.0
"halon1202","halon1202|o3","montreal","mem101042",0.0,-5.984485301381466,0.0
"halon1211","halon1211|o3","montreal","mem101042",0.0,-2.9029219745507113,0.0
"halon1301","halon1301|o3","montreal","mem101042",0.0,-1.42913081824035,0.0
"halon2402","halon2402|o3","montreal","mem101042",0.0,-5.895164625241445,0.0
"hcfc141b","hcfc141b|o3","montreal","mem101042",0.0,-0.06748673308357209,0.0
"hcfc142b","hcfc142b|o3","montreal","mem101042",0.0,-0.016871683270893025,0.0
"hcfc22","hcfc22|o3","montreal","mem101042",0.0,-0.014886779356670312,0.0
"methane","methane|o3","primary","mem101042",0.0,0.00014212745886846845,0.0
"methane","methane|strat_h2o","primary","mem101042",0.0,4.068809380723523e-5,0.0
"methyl_bromide","methyl_bromide|o3","montreal","mem101042",0.0,-2.6796202842006562,0.0
"methyl_chloride","methyl_chloride|o3","montreal","mem101042",0.0,-0.04366788611289959,0.0
"nitrous_oxide","nitrous_oxide|o3","primary","mem101042",0.0,0.0005781012590784944,0.0
"nmvoc","nmvoc|o3","aerosol_plus","mem101042",0.0,0.000268559860929376,0.0
"nox_avi","nox_avi|contrails","aerosol_plus","mem101042",0.0,0.02011348386111132,0.0
"nox","nox|o3","aerosol_plus","mem101042",0.0,0.0014648719687056872,0.0
"oc","oc|aci","aerosol_plus","mem101042",0.0,-0.011354539972946555,0.0
"so2","so2|aci","aerosol_plus","mem101042",-0.16061382915447464,0.0,0.0
"bc","bc|aci","aerosol_plus","mem101270",0.0,-0.009816165454623401,0.0
"bc","bc|bc_on_snow","aerosol_plus","mem101270",0.0,0.02021164548774481,0.0
"carbon_tetrachloride","carbon_tetrachloride|o3","montreal","mem101270",0.0,-0.16544860308165493,0.0
"cfc113","cfc113|o3","montreal","mem101270",0.0,-0.06647488516673634,0.0
"cfc114","cfc114|o3","montreal","mem101270",0.0,-0.01920385571483495,0.0
"cfc115","cfc115|o3","montreal","mem101270",0.0,-0.005170268846301715,0.0
"cfc11","cfc11|o3","montreal","mem101270",0.0,-0.10414398676122028,0.0
"cfc12","cfc12|o3","montreal","mem101270",0.0,-0.03545327208892605,0.0
"ch2cl2","ch2cl2|o3","montreal","mem101270",0.0,-0.0,0.0
"ch3ccl3","ch3ccl3|o3","montreal","mem101270",0.0,-0.1351655998390306,0.0
"chcl3","chcl3|o3","montreal","mem101270",0.0,-0.0,0.0
