"sample_id","d1","d2","d3","q1","q2","q3"
"mem100492",0.948390795,9.848695198,336.6190824,0.165619065,0.179680748,0.409624088
"mem101042",0.732596227,8.733736687,453.6766934,0.172104574,0.529451714,1.281018178
"mem101270",1.371596527,10.69674308,243.7793114,0.206783865,0.325804922,0.28977921
"mem101704",0.853550372,10.80869945,476.5525768,0.150481819,0.446579935,0.168423042
"mem10174",0.976320105,9.241444214,660.9312536,0.262589169,0.060751448,0.53980236
"mem101832",0.955675535,7.136488803,193.4176173,0.194683673,0.234305179,0.499471552
"mem103022",1.608533703,10.10730315,275.7722226,0.205511839,0.151037583,0.966978871
"mem104057",0.980650491,6.868475442,358.3320111,0.129846693,0.448839655,0.211321047
"mem104452",0.71794193,10.88360518,1166.689414,0.224212407,0.321259609,0.304683757
"mem104778",1.01014689,13.89217066,579.2020761,0.250168358,0.25476074,0.223018709
"mem105062",1.519724217,5.439333966,85.27273954,0.212773562,0.213905188,1.021059466
"mem105601",0.725909304,5.565079261,479.6503688,0.107145524,0.620656121,0.25895016
"mem10656",1.022835581,7.381259056,279.7150988,0.18508101,0.332172211,0.369672728
"mem106832",1.302206292,14.91281161,288.4223336,0.228717117,0.212082568,0.267336928
"mem107328",0.89656398,12.95714464,509.8248031,0.241918979,0.347570648,0.269549718
"mem108501",0.564680325,6.689119271,582.9027382,0.14183087,0.291424042,0.11692899
"mem110492",0.681626771,6.244404432,530.5712076,0.121063578,0.28030173,0.525091183
"mem11075",0.520328965,3.255563613,206.8904219,0.070834257,0.215683528,0.18604026
"mem110769",0.567153925,5.324504496,148.1385846,0.099049813,0.176888678,0.574745439
"mem111824",0.424358883,6.455166787,1398.224085,0.08127711,0.312207116,0.274577811
"mem112069",0.712800427,6.553667146,707.7037036,0.142117856,0.614960996,0.40118292
"mem112394",0.644762352,7.51159374,161.8021761,0.157953187,0.09055397,0.386095656
"mem113502",0.841667936,4.560049852,853.0967212,0.085534295,0.516757179,0.137044538
"mem113905",0.511900144,7.212108983,435.1428949,0.107409461,0.428148418,0.104520173
"mem115101",0.67802334,9.970719264,352.4834672,0.227187064,0.264490358,0.463974591
"mem116904",0.754778349,8.339092254,466.1673143,0.20100945,0.317367714,0.123256374
"mem117167",1.434652939,10.41355814,545.7226419,0.295271106,0.373978797,0.807084103
"mem118391",1.503503653,18.88269463,116.5753507,0.232749738,0.145109452,0.807763962
