"sample_id","d1","d2","d3","q1","q2","q3"
"mem100057",1.24318282,9.265141868,796.8478058,0.177307319,0.196207297,0.25494175
"mem10010",0.65979525,10.42114204,112.2386278,0.195669121,0.192278007,0.509065643
"mem100210",1.651023685,15.48933844,124.6606145,0.290178516,0.177018894,0.590432842
"mem100229",1.01473028,9.572965241,190.3487184,0.186305243,0.164045308,0.195016322
"mem100232",1.097402733,9.116376051,237.39399,0.208042532,0.084475612,0.752295196
"mem100246",0.63190303,5.857902381,173.9404603,0.150877368,0.287274234,0.58209811
"mem100359",1.633668284,10.85914967,523.4521218,0.348327249,0.183196062,0.307388524
"mem100669",1.07073985,3.777568662,379.5076761,0.111222054,0.228029612,0.550274348
"mem100693",0.830364453,5.986858433,258.8286186,0.16041853,0.370223341,0.337951501
"mem10070",0.891698219,9.212115557,229.7840926,0.207881248,0.141681558,0.058677329
"mem100774",1.536620192,8.521477303,429.5679112,0.247127037,0.170303551,0.459310488
"mem100821",0.9906119,13.22415456,481.9026942,0.15579223,0.509167971,1.475685645
"mem100892",0.557208209,8.989211203,422.1505224,0.090940176,0.334700924,0.171441459
"mem10091",0.96540793,8.000432899,393.096559,0.183125686,0.171148475,0.711679754
"mem101033",0.999910537,5.807342739,159.5211653,0.208134292,0.179736755,0.318877881
"mem101143",0.541099067,3.780417347,224.7050013,0.070039993,0.322717484,0.553009707
"mem101191",0.91562366,6.387111442,330.640891,0.219179356,0.130101918,0.150157582
"mem101195",0.758413125,5.664866607,417.5776205,0.098357656,0.251061611,0.85749751
"mem10123",0.605875984,3.708719073,194.5954411,0.135838446,0.160914725,0.624725575
"mem101629",1.442256857,7.801612066,293.7995939,0.227201829,0.251664402,0.369063535
"mem101697",1.575669194,5.403182977,344.8606149,0.19499548,0.050562586,0.848112362
"mem101832",0.955675535,7.136488803,193.4176173,0.194683673,0.234305179,0.499471552
"mem102041",0.81310864,4.26202022,113.9996955,0.109166892,0.087038964,0.634395459
"mem102257",0.962600198,9.127199336,204.9517404,0.191344863,0.225741822,1.326866353
"mem10232",0.690833941,8.963341736,286.3328468,0.12922534,0.356227725,0.199247587
"mem102365",0.663322207,5.038642004,248.3040311,0.141010822,0.195374631,1.02694378
"mem102524",1.950780098,20.96532025,234.1478132,0.300957021,0.261233987,0.000440298
"mem102725",0.964119097,11.60369155,197.8076598,0.255087523,0.260041973,0.270611609
"mem10275",0.296899657,4.051114876,88.2324043,0.013010147,0.247591218,0.505579295
"mem102766",0.725386133,5.246025249,311.4082676,0.121647038,0.269646736,0.578386991
"mem102868",1.099786813,7.958955565,800.095687,0.165801186,0.180314298,0.398402531
"mem102906",1.042485897,10.1066726,198.0801377,0.258376184,0.271595899,0.184284413
"mem102975",0.906753755,9.713320594,153.7979022,0.2489661,0.39154646,0.739332722
"mem103037",1.971560735,14.43651658,391.8713673,0.301581038,0.152805827,0.432763185
"mem103172",0.689144894,2.603292476,266.6007081,0.037135954,0.428675248,0.34797046
"mem1033",0.981675201,6.303153327,441.1815387,0.187752623,0.184857869,0.163080336
"mem103412",0.993406571,18.59910131,248.2931208,0.180128379,0.060832598,1.884415525
"mem103456",0.612646735,4.912831405,173.7408109,0.124930618,0.325550016,0.109073704
"mem103526",1.051411058,13.71300785,609.8067614,0.214538416,0.317323024,0.278413726
"mem103715",1.322894494,12.18523801,862.2864399,0.221066008,0.248387581,0.902140436
"mem103720",1.76314356,11.07756723,751.9767611,0.275733195,0.260052764,0.007959159
"mem103725",1.59869177,16.30966862,246.5175432,0.292190605,0.35398726,0.205648599
"mem103816",0.872203926,6.402386393,151.893181,0.217936387,0.366759676,0.066398169
"mem10383",0.73812552,9.165062078,208.0762138,0.237636156,0.119691195,0.81883844
"mem103937",0.579891496,5.087270059,189.3161586,0.127109081,0.183618216,0.171065693
"mem104025",2.836377032,37.20728974,1006.575707,0.379518403,0.097355357,0.505007941
"mem104065",1.460762376,9.939439948,341.3439191,0.24735954,0.201590211,0.012564688
"mem104112",1.179115628,7.865307545,480.1881129,0.190935945,0.184761889,0.179160895
"mem104147",0.63846758,5.11741093,2079.605942,0.115964768,0.46893073,0.698723668
"mem104258",0.947795261,8.410363327,559.7323308,0.159151884,0.46641352,0.795085988
"mem104285",0.81008498,5.380666279,151.4047779,0.213014082,0.054535739,0.393972136
"mem104387",1.179317489,9.798776935,270.4555252,0.176988664,0.217930365,0.207830343
"mem104445",1.225648495,9.395034902,91.79883608,0.175750432,0.082007306,0.651961898
"mem104477",0.474832014,6.512066525,359.0313178,0.092732027,0.399276036,0.146125859
"mem10449",0.550309118,2.974237414,437.6683796,0.079711128,0.42446543,0.081734665
"mem104610",0.355972575,3.049182193,622.6564268,0.025161962,0.409245118,0.813138993
"mem104639",0.572641815,6.755336952,460.590798,0.131171298,0.267571846,0.305190342
"mem104685",0.693023621,5.702733721,88.13197555,0.183143277,0.406701498,0.25407193
"mem104689",1.570532502,13.67115706,623.3487728,0.25715321,0.181078195,0.351104963
"mem104773",1.321236467,12.49776424,438.0501685,0.201754249,0.240336082,0.142471598
"mem104952",0.824846537,6.364539834,133.8636408,0.193424752,0.44909489,0.155133059
"mem105034",1.545540031,11.66533503,205.1033651,0.276274888,0.20632389,0.375389776
"mem10526",0.526719354,5.883775288,445.2095122,0.109514466,0.211436137,0.077155437
"mem105281",0.508336533,5.073868193,946.9133313,0.137932723,0.32215773,0.321957883
"mem105296",0.622275074,7.850346103,693.9151389,0.109347778,0.286888146,0.822301771
"mem105363",1.274873424,10.34956073,339.7898999,0.275096998,0.149148736,0.06597667
"mem105422",0.611277081,4.147735914,252.7379105,0.13898144,0.236942254,0.143768921
"mem105580",0.983860208,10.58119887,665.3110452,0.300112675,0.306567334,0.585678547
"mem105624",1.044358904,10.66159225,223.1475418,0.157555827,0.261895716,0.383389509
"mem105927",1.246116053,5.836113258,347.1826125,0.152916549,0.296256914,0.632881465
"mem105932",1.351512372,4.21460238,168.1789192,0.215338095,0.306908711,0.071647097
"mem105962",0.797635362,6.310660984,663.1068556,0.134636866,0.22844828,0.113336276
"mem105966",0.449589697,4.232823454,127.3895587,0.049416703,0.464926492,0.511177843
"mem106134",0.855903001,8.392017481,444.4376338,0.181877571,0.223781176,0.38542544
"mem106192",1.286296405,13.87954893,1101.011553,0.23755394,0.473656009,0.745907732
"mem106217",0.778350926,6.831325272,254.1005724,0.161314211,0.238840893,0.70623122
"mem106420",0.45284269,3.653381578,1227.029625,0.142886868,0.29650951,0.726731411
"mem106583",1.846463971,11.98394374,247.9943853,0.247569266,0.393981273,0.043658943
"mem106806",0.946891129,7.828931437,715.7100369,0.201772053,0.106400151,0.232945354
"mem106855",0.315170718,4.840847013,221.8393296,0.055114549,0.451555583,2.098264101
"mem106990",0.967845501,12.95673064,1005.158302,0.215424443,0.432414441,0.573335867
"mem106995",1.272968344,5.617977065,234.047225,0.179078585,0.136459426,0.32497291
"mem107164",1.028469792,8.259246489,606.8953871,0.185710962,0.401761716,0.129381834
"mem107185",0.782525191,4.955787827,643.5799703,0.132775035,0.317100895,1.265982139
"mem107194",0.996357976,15.46046491,861.7736535,0.188087958,0.446377322,0.138392571
"mem107205",0.50177785,4.091021096,436.2839589,0.056513145,0.357373014,0.241823748
"mem107217",0.486672826,5.153146428,815.4970751,0.118497996,0.414319389,0.34481771
"mem107260",0.595596365,3.237398156,429.3904917,0.098905619,0.258558617,0.332574657
"mem107382",0.591044752,6.772013794,529.1022822,0.177644249,0.2131342,0.316577213
"mem107398",0.928678959,11.49071735,386.1124811,0.234302718,0.122567208,0.392165716
"mem107496",1.10073999,7.956791354,1030.122792,0.188888152,0.366756432,0.445830738
"mem107598",1.268982853,8.825311038,106.9891649,0.232845086,0.047848619,0.615048565
"mem107785",0.547633863,7.924628066,204.9318578,0.120053547,0.146927554,0.680186283
"mem107794",1.112724206,8.884205417,161.4157518,0.138260996,0.144966372,0.224396426
"mem108055",0.559042425,5.53191324,403.9414655,0.168618413,0.437281312,0.033757206
"mem108099",0.558778002,3.063770486,414.8173837,0.048922366,0.305311034,0.270393501
"mem108239",0.341603374,6.034481432,173.1396265,0.030149405,0.441345453,0.097099897
"mem108429",0.743176431,8.221492695,783.6280338,0.176916998,0.170479229,0.556414922
"mem108542",0.690886589,8.516437285,789.9011636,0.146733889,0.423250907,0.763141227
"mem108604",1.024195381,7.210025652,142.8247886,0.189232496,0.330998778,0.253988057
"mem108689",1.718998355,14.10305189,233.4100075,0.329475262,0.0986224,0.304748346
"mem108699",1.208337031,5.251626717,847.7677755,0.175194834,0.168684384,0.111291292
"mem10879",1.105733017,6.955059472,180.1422581,0.175475621,0.078857823,0.545845197
"mem108889",1.127670329,13.62387924,217.1044761,0.248310183,0.186778458,1.020403588
"mem108954",0.814425738,6.43173489,243.9489388,0.190891202,0.252286635,0.061915328
"mem108986",0.720630788,4.437428261,173.0852052,0.15402233,0.198500533,1.083441305
"mem109047",0.642895886,5.210923955,173.4001273,0.109988122,0.322122138,0.221757089
"mem109058",1.400616318,8.294923135,260.7496515,0.206469916,0.14193729,0.233806993
"mem109163",0.602406073,7.240400558,418.9522435,0.167307612,0.407745316,0.313677417
"mem109487",1.43758397,13.02255167,543.6834265,0.220101042,0.312074158,0.014036753
"mem109516",1.650889547,9.323986745,657.9087314,0.285976546,0.213630961,0.848044634
"mem109543",0.56090242,5.249668308,905.0145882,0.128481472,0.410761336,1.350633974
"mem109594",2.175343403,11.4348652,463.8172187,0.292765325,0.086303641,0.728333352
"mem109780",1.876719301,15.95968321,371.9723603,0.275010606,0.131405172,0.18843694
"mem109895",0.890999331,11.41720718,1390.225879,0.190194706,0.466669587,0.561814788
"mem109998",0.720926337,6.962765682,277.2502965,0.161190262,0.101064694,2.895665141
"mem110310",1.189992022,6.956710636,237.2004341,0.152102017,0.243481666,0.075619473
"mem110313",1.17807384,6.722980358,584.1616731,0.281268249,0.157983668,0.157603607
"mem11045",0.587270068,5.561565499,727.6798194,0.109660131,0.255857087,0.302505631
"mem110615",0.821075192,8.661789752,75.97889883,0.1779759,0.138331887,0.188058436
"mem110635",1.017950118,9.016373995,345.9382221,0.26002884,0.221030143,0.646228953
"mem11065",0.505667003,4.144292826,466.0545169,0.050964146,0.33061693,1.892654982
"mem11073",0.875632834,13.78571868,406.6403325,0.236552173,0.131522047,0.934626843
"mem110749",1.614298677,13.93827949,362.8558187,0.28316351,0.076171317,0.159639668
"mem11093",0.724070434,7.596426432,686.0552685,0.182900771,0.27530389,0.506643806
"mem110958",0.549873815,6.385011159,346.3820892,0.040860203,0.397189838,0.450728372
"mem1110",0.572979873,10.78016259,227.7674916,0.189412489,0.21756295,0.100987108
"mem111114",1.167283317,6.731131337,347.5704482,0.195175028,0.235038761,0.818897047
"mem111157",1.254075659,10.22597645,300.5946728,0.273008265,0.324758406,0.090136862
"mem111164",0.238236977,2.47359806,305.328477,0.030707994,0.459482239,0.970699425
"mem111185",2.193623239,12.45671037,601.2590716,0.24348954,0.117549978,0.139885409
"mem111226",1.313558716,8.559304559,355.4325137,0.260529363,0.136019677,0.189944061
"mem111257",1.40686927,11.28485001,297.5343301,0.250788147,0.17907239,0.329541895
"mem111342",1.78807731,21.44572503,483.6038253,0.282826398,0.085691896,0.986046349
"mem111358",1.065070655,8.31972517,574.6852843,0.170037985,0.261234798,0.47061241
"mem111360",1.341967541,13.41491128,205.680755,0.260652531,0.029002837,1.050105741
"mem111361",0.566375843,4.457034958,141.9062985,0.157559818,0.497926253,0.14616279
"mem111434",0.391101244,6.42668663,779.6712373,0.061367304,0.385870907,0.119503155
"mem111465",1.597486172,16.26127313,404.1703991,0.292304669,0.3366236,0.165662235
"mem111669",0.738880413,8.061274861,265.4628502,0.196122278,0.104297511,0.839222379
"mem111825",0.658609825,6.320308748,459.1048409,0.182960166,0.232112639,1.882740396
