,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
,bc,bc|aci,bc|bc_on_snow,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,carbon_tetrachloride|o3,cf4,cfc11,cfc113,cfc113|o3,cfc114,cfc114|o3,cfc115,cfc115|o3,cfc11|o3,cfc12,cfc12|o3,ch2cl2,ch2cl2|o3,ch3ccl3,ch3ccl3|o3,chcl3,chcl3|o3,co,co|o3,halon1202,halon1202|o3,halon1211,halon1211|o3,halon1301,halon1301|o3,halon2402,halon2402|o3,hcfc141b,hcfc141b|o3,hcfc142b,hcfc142b|o3,hcfc22,hcfc22|o3,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc23,hfc236fa,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methane|strat_h2o,methane|o3,methyl_bromide,methyl_bromide|o3,methyl_chloride,methyl_chloride|o3,nf3,nh3,nitrous_oxide,nitrous_oxide|o3,nmvoc,nmvoc|o3,nox,nox_avi,nox_avi|contrails,nox|o3,oc,oc|aci,sf6,so2,so2f2,so2|aci
a1,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2173,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,
a2,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
a3,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
a4,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2763,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
tau1,1.0,,,100.0,26.0,26.0,41.0,31.0,30.0,30.0,32.0,1000000000.0,0.32,,500.0,0.52,0.93,,1.89,,5.4,,,1.02,,0.0049282663454167,,0.05,,0.0050104041178403,,1.0,,0.025,,0.16,,0.72,,0.28,,0.094,,0.18,,0.119,,0.3,0.14,0.51,0.016,0.36,2.28,2.13,0.079,0.054,0.089,0.17,8.25,,,0.008,,0.009,,5.69,1.0,100.0,,1.0,,1.0,1.0,,,1.0,,32.0,1.0,0.36,
tau2,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,394.4,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,
tau3,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.54,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,
tau4,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.304,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,
r0,1.0,,,184.89958757752763,132.78383962657105,132.78383962657105,169.5835837708735,148.56441363122462,145.7278604040976,145.7278604040976,151.2509725798844,33.9,1.7936544595161892,,130.98304379927518,2.914688496713808,5.212808272968925,,10.593771651517493,,30.267914553917528,,,5.717273589707853,,0.0276237715879382,,0.2802585092994045,,0.0280841677810705,,1.0,,0.1401292546497022,,0.8968272297580946,,4.035722533911425,,1.5694476520766656,,0.5268859974828806,,1.0089306334778565,,0.6670152521325828,,1.6815510557964273,0.7847238260383328,2.8586367948539264,0.0896827229758094,2.017861266955713,12.779788024052849,11.939012496154634,0.4428084446930592,0.3026791900433569,0.4988601465529401,0.9528789316179757,8.25,,,0.0448413614879047,,0.0504465316738928,,31.893406883731817,1.0,63.2,,1.0,,1.0,1.0,,,1.0,,151.2509725798844,1.0,2.017861266955713,
